designation,common_name,object_type,constellation,ra_hours,dec_degrees,magnitude,size,distance_ly,notes
Sh2-268,,Emission Nebula,,1.1667,-4.1167,,1.2'×0.8',270000000,"Galaxie spirale"
Sh2-269,,Emission Nebula,,1.1500,-6.2333,,1.5'×1.2',210000000,"Galaxie spirale"
Sh2-270,,Emission Nebula,,1.1333,-6.3500,,2.8'×1.3',190000000,"Galaxie spirale"
Sh2-271,,Emission Nebula,,1.1167,-12.1000,,2.4'×0.8',230000000,"Galaxie spirale"
Sh2-272,,Emission Nebula,,1.1000,-17.0833,,1.1'×0.7',280000000,"Galaxie spirale"
Sh2-273,,Emission Nebula,,1.0833,10.8167,,1.0'×0.7',220000000,"Galaxie elliptique"
Sh2-274,,Emission Nebula,,1.0667,31.3500,,0.2',8000,"Nébuleuse planétaire"
Sh2-275,,Emission Nebula,,1.0500,21.9333,,1.3'×0.8',240000000,"Galaxie lenticulaire"
Sh2-276,Boucle de Barnard,Emission Nebula,Orion,5.6833,-2.6000,,10°×5°,1600,"Boucle de Barnard"
Sh2-277,,Emission Nebula,,1.0000,-56.7333,,1.0'×0.8',250000000,"Galaxie elliptique"
Sh2-278,,Emission Nebula,,0.9833,28.5667,,1.2'×0.9',240000000,"Galaxie spirale"
Sh2-279,Nébuleuse du Casque de Thor,Emission Nebula,Canis Major,7.2967,-13.2167,,9'×6',15000,"Nébuleuse du Casque de Thor (NGC 2359)"
Sh2-280,,Emission Nebula,,0.9333,27.2667,,0.1',500,"Étoile"
Sh2-281,,Emission Nebula,,0.9000,-24.9833,,5.8'×1.4',110000000,"Galaxie spirale"
Sh2-282,,Emission Nebula,,0.8667,25.9167,,2.3'×1.9',180000000,"Galaxie spirale"
Sh2-283,,Emission Nebula,,0.8500,27.8833,,1.7'×1.2',220000000,"Galaxie spirale"
Sh2-284,,Emission Nebula,,0.8167,33.3500,,2.1'×1.3',200000000,"Galaxie spirale"
Sh2-285,,Emission Nebula,,0.7833,33.0167,,3.4'×1.9',190000000,"Galaxie spirale"
Sh2-286,,Emission Nebula,,0.7667,32.1667,,1.6'×1.2',240000000,"Galaxie spirale"
Sh2-287,,Emission Nebula,,0.7333,27.7167,,0.8'×0.6',310000000,"Galaxie spirale"
Sh2-288,,Emission Nebula,,0.7167,-12.0833,,1.0'×0.7',280000000,"Galaxie spirale"
Sh2-289,,Emission Nebula,,1.3500,48.3167,,1.1'×0.8',280000000,"Galaxie spirale"
Sh2-290,,Emission Nebula,,2.4500,33.5833,,10.5'×5.9',30300000,"Galaxie spirale"
Sh2-291,,Emission Nebula,,2.3667,42.3500,,13.5'×2.5',27300000,"Galaxie spirale vue par la tranche"
Sh2-292,,Emission Nebula,,2.3667,57.1333,,30',,"Partie du Double Amas"
Sh2-293,,Emission Nebula,,2.3167,57.1333,,30',,"Partie du Double Amas"
Sh2-294,,Emission Nebula,,2.6667,39.0167,,8.7'×3.0',36400000,"Galaxie lenticulaire"
Sh2-295,,Emission Nebula,,2.7167,-0.0167,,7'×6',47000000,"Galaxie spirale Seyfert (M77)"
Sh2-296,Nébuleuse de la Mouette,Emission Nebula,Monoceros,7.0500,-11.3000,,120'×100',1800,"Nébuleuse de la Mouette"
Sh2-297,,Emission Nebula,,7.4833,20.9167,,0.8',4200,"Nébuleuse de l'Esquimau"
Sh2-298,,Emission Nebula,,5.5917,-5.3833,,85'×60',1344,"Grande Nébuleuse d'Orion (M42)"
Sh2-299,,Emission Nebula,,5.5917,-5.2667,,20'×15',1600,"Nébuleuse de Mairan (M43)"
Sh2-300,,Emission Nebula,,5.7833,0.0500,,8'×6',1600,"Nébuleuse de réflexion (M78)"
Sh2-301,,Emission Nebula,,6.5333,5.0333,,80'×60',5200,"Nébuleuse de la Rosette"
Sh2-302,,Emission Nebula,,6.6833,9.8833,,20',2700,"Nébuleuse du Cône"
Sh2-303,,Emission Nebula,,6.7833,-20.7333,,38',,"Amas ouvert (M41)"
Sh2-304,,Emission Nebula,,7.0500,-8.3333,,16',,"Amas ouvert (M50)"
Sh2-305,,Emission Nebula,,7.6083,-14.8167,,30',,"Amas ouvert (M47)"
Sh2-306,,Emission Nebula,,7.6917,-14.8167,,27',,"Amas ouvert (M46)"
Sh2-307,,Emission Nebula,,7.7333,-23.8667,,22',,"Amas ouvert (M93)"
Sh2-308,Tête de Dauphin,Emission Nebula,Canis Major,6.8667,-23.9333,,60'×50',5000,"Tête de Dauphin"
Sh2-309,,Emission Nebula,,8.6667,19.9833,,95',,"Amas de la Crèche (M44)"
Sh2-310,,Emission Nebula,,8.8500,11.8167,,30',,"Amas ouvert ancien (M67)"
Sh2-311,,Emission Nebula,,6.1458,24.3333,,28',,"Amas ouvert (M35)"
Sh2-312,,Emission Nebula,,5.8792,32.5500,,24',,"Amas ouvert (M37)"
Sh2-313,,Emission Nebula,,5.6000,34.1333,,12',,"Amas ouvert (M36)"
