primary,alternates,catalogs,common_name,match_type,notes
M55,Sh2-182,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0084°
M57,Sh2-35,Messier | Sharpless,Nébuleuse de l'Anneau,coordinate_match,Distance: 0.0000°
M57,Sh2-180,Messier | Sharpless,Nébuleuse de l'Anneau,coordinate_match,Distance: 0.0000°
M57,UGC 7700,Messier | UGC,Nébuleuse de l'Anneau,coordinate_match,Distance: 0.0000°
Sh2-35,UGC 7700,Sharpless | UGC,NGC 6720,coordinate_match,Distance: 0.0000°
Sh2-180,UGC 7700,Sharpless | UGC,NGC 6720,coordinate_match,Distance: 0.0000°
M84,Sh2-130,Messier | Sharpless,Galaxie elliptique,coordinate_match,Distance: 0.0600°
M84,UGC 4800,Messier | UGC,Galaxie elliptique,coordinate_match,Distance: 0.0600°
M84,PGC 4374,Messier | PGC,Galaxie elliptique,coordinate_match,Distance: 0.0600°
M86,UGC 5000,Messier | UGC,Galaxie elliptique,coordinate_match,Distance: 0.0000°
M86,PGC 4406,Messier | PGC,Galaxie elliptique,coordinate_match,Distance: 0.0000°
M88,Sh2-135,Messier | Sharpless,Galaxie spirale,coordinate_match,Distance: 0.0000°
M88,UGC 5300,Messier | UGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
M88,PGC 4501,Messier | PGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
M90,Sh2-138,Messier | Sharpless,Galaxie spirale,coordinate_match,Distance: 0.0000°
M90,UGC 5500,Messier | UGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
M90,PGC 4569,Messier | PGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
Sh2-134,UGC 5200,Sharpless | UGC,NGC 4486,coordinate_match,Distance: 0.0000°
Sh2-134,PGC 4486,Sharpless | PGC,NGC 4486,coordinate_match,Distance: 0.0000°
Sh2-135,UGC 5300,Sharpless | UGC,NGC 4501,coordinate_match,Distance: 0.0000°
Sh2-135,PGC 4501,Sharpless | PGC,NGC 4501,coordinate_match,Distance: 0.0000°
Sh2-138,UGC 5500,Sharpless | UGC,NGC 4569,coordinate_match,Distance: 0.0000°
Sh2-138,PGC 4569,Sharpless | PGC,NGC 4569,coordinate_match,Distance: 0.0000°
Sh2-139,UGC 5600,Sharpless | UGC,NGC 4579,coordinate_match,Distance: 0.0000°
Sh2-139,PGC 4579,Sharpless | PGC,NGC 4579,coordinate_match,Distance: 0.0000°
UGC 5000,PGC 4406,UGC | PGC,NGC 4406,coordinate_match,Distance: 0.0000°
UGC 5200,PGC 4486,UGC | PGC,NGC 4486,coordinate_match,Distance: 0.0000°
UGC 5300,PGC 4501,UGC | PGC,NGC 4501,coordinate_match,Distance: 0.0000°
UGC 5500,PGC 4569,UGC | PGC,NGC 4569,coordinate_match,Distance: 0.0000°
UGC 5600,PGC 4579,UGC | PGC,NGC 4579,coordinate_match,Distance: 0.0000°
M59,Sh2-141,Messier | Sharpless,Galaxie elliptique,coordinate_match,Distance: 0.0000°
M59,UGC 5800,Messier | UGC,Galaxie elliptique,coordinate_match,Distance: 0.0000°
M59,PGC 4621,Messier | PGC,Galaxie elliptique,coordinate_match,Distance: 0.0000°
M60,Sh2-142,Messier | Sharpless,Galaxie elliptique,coordinate_match,Distance: 0.0603°
M60,UGC 5900,Messier | UGC,Galaxie elliptique,coordinate_match,Distance: 0.0603°
M60,PGC 4649,Messier | PGC,Galaxie elliptique,coordinate_match,Distance: 0.0603°
Sh2-141,UGC 5800,Sharpless | UGC,NGC 4621,coordinate_match,Distance: 0.0000°
Sh2-141,PGC 4621,Sharpless | PGC,NGC 4621,coordinate_match,Distance: 0.0000°
Sh2-142,UGC 5900,Sharpless | UGC,NGC 4649,coordinate_match,Distance: 0.0000°
Sh2-142,PGC 4649,Sharpless | PGC,NGC 4649,coordinate_match,Distance: 0.0000°
UGC 5800,PGC 4621,UGC | PGC,NGC 4621,coordinate_match,Distance: 0.0000°
UGC 5900,PGC 4649,UGC | PGC,NGC 4649,coordinate_match,Distance: 0.0000°
M61,Sh2-128,Messier | Sharpless,Galaxie spirale,coordinate_match,Distance: 0.0000°
M62,Sh2-159,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0534°
M63,Sh2-146,Messier | Sharpless,Galaxie du Tournesol,coordinate_match,Distance: 0.0470°
M63,UGC 6300,Messier | UGC,Galaxie du Tournesol,coordinate_match,Distance: 0.0470°
M63,PGC 5055,Messier | PGC,Galaxie du Tournesol,coordinate_match,Distance: 0.0470°
Sh2-146,UGC 6300,Sharpless | UGC,NGC 5055,coordinate_match,Distance: 0.0000°
Sh2-146,PGC 5055,Sharpless | PGC,NGC 5055,coordinate_match,Distance: 0.0000°
UGC 6300,PGC 5055,UGC | PGC,NGC 5055,coordinate_match,Distance: 0.0000°
Sh2-144,UGC 6100,Sharpless | UGC,NGC 4826,coordinate_match,Distance: 0.0000°
Sh2-144,PGC 4826,Sharpless | PGC,NGC 4826,coordinate_match,Distance: 0.0000°
UGC 6100,PGC 4826,UGC | PGC,NGC 4826,coordinate_match,Distance: 0.0000°
M66,Sh2-125,Messier | Sharpless,Galaxie spirale,coordinate_match,Distance: 0.0000°
M66,UGC 4500,Messier | UGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
M66,PGC 3627,Messier | PGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
Sh2-124,UGC 4400,Sharpless | UGC,NGC 3623,coordinate_match,Distance: 0.0000°
Sh2-124,PGC 3623,Sharpless | PGC,NGC 3623,coordinate_match,Distance: 0.0000°
Sh2-125,UGC 4500,Sharpless | UGC,NGC 3627,coordinate_match,Distance: 0.0000°
Sh2-125,PGC 3627,Sharpless | PGC,NGC 3627,coordinate_match,Distance: 0.0000°
UGC 4400,PGC 3623,UGC | PGC,NGC 3623,coordinate_match,Distance: 0.0000°
UGC 4500,PGC 3627,UGC | PGC,NGC 3627,coordinate_match,Distance: 0.0000°
M67,Sh2-57,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M67,Sh2-207,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M67,Sh2-236,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M67,Sh2-310,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M67,UGC 3600,Messier | UGC,Amas ouvert,coordinate_match,Distance: 0.0000°
Sh2-57,UGC 3600,Sharpless | UGC,NGC 2682,coordinate_match,Distance: 0.0000°
Sh2-207,UGC 3600,Sharpless | UGC,NGC 2682,coordinate_match,Distance: 0.0000°
Sh2-236,UGC 3600,Sharpless | UGC,NGC 2682,coordinate_match,Distance: 0.0000°
Sh2-310,UGC 3600,Sharpless | UGC,NGC 2682,coordinate_match,Distance: 0.0000°
M69,Sh2-32,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0520°
M69,Sh2-174,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0520°
M71,Sh2-38,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0000°
M71,Sh2-183,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0000°
M73,Sh2-41,Messier | Sharpless,Astérisme,coordinate_match,Distance: 0.0000°
M73,Sh2-187,Messier | Sharpless,Astérisme,coordinate_match,Distance: 0.0000°
M74,C62,Messier | Caldwell,Galaxie spirale,coordinate_match,Distance: 0.0000°
Sh2-82,UGC 400,Sharpless | UGC,NGC 628,coordinate_match,Distance: 0.0000°
Sh2-82,PGC 628,Sharpless | PGC,NGC 628,coordinate_match,Distance: 0.0000°
Sh2-261,UGC 400,Sharpless | UGC,NGC 628,coordinate_match,Distance: 0.0000°
Sh2-261,PGC 628,Sharpless | PGC,NGC 628,coordinate_match,Distance: 0.0000°
UGC 400,PGC 628,UGC | PGC,NGC 628,coordinate_match,Distance: 0.0000°
M76,Sh2-66,Messier | Sharpless,Petite Nébuleuse de l'Haltère,coordinate_match,Distance: 0.0774°
M76,Sh2-245,Messier | Sharpless,Petite Nébuleuse de l'Haltère,coordinate_match,Distance: 0.0774°
Sh2-116,UGC 800,Sharpless | UGC,NGC 1068,coordinate_match,Distance: 0.0000°
Sh2-116,PGC 1068,Sharpless | PGC,NGC 1068,coordinate_match,Distance: 0.0000°
Sh2-295,UGC 800,Sharpless | UGC,NGC 1068,coordinate_match,Distance: 0.0000°
Sh2-295,PGC 1068,Sharpless | PGC,NGC 1068,coordinate_match,Distance: 0.0000°
UGC 800,PGC 1068,UGC | PGC,NGC 1068,coordinate_match,Distance: 0.0000°
Sh2-53,UGC 2900,Sharpless | UGC,NGC 2068,coordinate_match,Distance: 0.0000°
Sh2-197,UGC 2900,Sharpless | UGC,NGC 2068,coordinate_match,Distance: 0.0000°
Sh2-226,UGC 2900,Sharpless | UGC,NGC 2068,coordinate_match,Distance: 0.0000°
Sh2-300,UGC 2900,Sharpless | UGC,NGC 2068,coordinate_match,Distance: 0.0000°
Sh2-70,UGC 2500,Sharpless | UGC,NGC 1904,coordinate_match,Distance: 0.0000°
Sh2-220,UGC 2500,Sharpless | UGC,NGC 1904,coordinate_match,Distance: 0.0000°
M80,Sh2-153,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0580°
M81,Sh2-117,Messier | Sharpless,Galaxie de Bode,coordinate_match,Distance: 0.0445°
M81,UGC 3700,Messier | UGC,Galaxie de Bode,coordinate_match,Distance: 0.0445°
M81,PGC 3031,Messier | PGC,Galaxie de Bode,coordinate_match,Distance: 0.0445°
M82,Sh2-118,Messier | Sharpless,Galaxie du Cigare,coordinate_match,Distance: 0.0432°
M82,UGC 3800,Messier | UGC,Galaxie du Cigare,coordinate_match,Distance: 0.0432°
M82,PGC 3034,Messier | PGC,Galaxie du Cigare,coordinate_match,Distance: 0.0432°
Sh2-117,UGC 3700,Sharpless | UGC,NGC 3031,coordinate_match,Distance: 0.0000°
Sh2-117,PGC 3031,Sharpless | PGC,NGC 3031,coordinate_match,Distance: 0.0000°
Sh2-118,UGC 3800,Sharpless | UGC,NGC 3034,coordinate_match,Distance: 0.0000°
Sh2-118,PGC 3034,Sharpless | PGC,NGC 3034,coordinate_match,Distance: 0.0000°
UGC 3700,PGC 3031,UGC | PGC,NGC 3031,coordinate_match,Distance: 0.0000°
UGC 3800,PGC 3034,UGC | PGC,NGC 3034,coordinate_match,Distance: 0.0000°
Sh2-148,UGC 6500,Sharpless | UGC,NGC 5236,coordinate_match,Distance: 0.0000°
Sh2-148,PGC 5236,Sharpless | PGC,NGC 5236,coordinate_match,Distance: 0.0000°
UGC 6500,PGC 5236,UGC | PGC,NGC 5236,coordinate_match,Distance: 0.0000°
Sh2-131,UGC 4900,Sharpless | UGC,NGC 4382,coordinate_match,Distance: 0.0000°
Sh2-131,PGC 4382,Sharpless | PGC,NGC 4382,coordinate_match,Distance: 0.0000°
UGC 4900,PGC 4382,UGC | PGC,NGC 4382,coordinate_match,Distance: 0.0000°
M92,UGC 7000,Messier | UGC,Amas globulaire,coordinate_match,Distance: 0.0000°
Sh2-47,UGC 3400,Sharpless | UGC,NGC 2447,coordinate_match,Distance: 0.0000°
Sh2-204,UGC 3400,Sharpless | UGC,NGC 2447,coordinate_match,Distance: 0.0000°
Sh2-233,UGC 3400,Sharpless | UGC,NGC 2447,coordinate_match,Distance: 0.0000°
Sh2-307,UGC 3400,Sharpless | UGC,NGC 2447,coordinate_match,Distance: 0.0000°
Sh2-143,UGC 6000,Sharpless | UGC,NGC 4736,coordinate_match,Distance: 0.0000°
Sh2-143,PGC 4736,Sharpless | PGC,NGC 4736,coordinate_match,Distance: 0.0000°
UGC 6000,PGC 4736,UGC | PGC,NGC 4736,coordinate_match,Distance: 0.0000°
M96,Sh2-120,Messier | Sharpless,Galaxie spirale,coordinate_match,Distance: 0.0000°
M96,UGC 4200,Messier | UGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
M96,PGC 3368,Messier | PGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
Sh2-120,UGC 4200,Sharpless | UGC,NGC 3368,coordinate_match,Distance: 0.0000°
Sh2-120,PGC 3368,Sharpless | PGC,NGC 3368,coordinate_match,Distance: 0.0000°
Sh2-121,UGC 4300,Sharpless | UGC,NGC 3379,coordinate_match,Distance: 0.0000°
Sh2-121,PGC 3379,Sharpless | PGC,NGC 3379,coordinate_match,Distance: 0.0000°
UGC 4100,PGC 3351,UGC | PGC,NGC 3351,coordinate_match,Distance: 0.0000°
UGC 4200,PGC 3368,UGC | PGC,NGC 3368,coordinate_match,Distance: 0.0000°
UGC 4300,PGC 3379,UGC | PGC,NGC 3379,coordinate_match,Distance: 0.0000°
M97,Sh2-123,Messier | Sharpless,Nébuleuse du Hibou,coordinate_match,Distance: 0.0714°
M108,Sh2-122,Messier | Sharpless,Galaxie spirale,coordinate_match,Distance: 0.0711°
M101,Sh2-150,Messier | Sharpless,Galaxie du Moulinet,coordinate_match,Distance: 0.0367°
M101,UGC 6700,Messier | UGC,Galaxie du Moulinet,coordinate_match,Distance: 0.0367°
M101,PGC 5457,Messier | PGC,Galaxie du Moulinet,coordinate_match,Distance: 0.0367°
Sh2-150,UGC 6700,Sharpless | UGC,NGC 5457,coordinate_match,Distance: 0.0000°
Sh2-150,PGC 5457,Sharpless | PGC,NGC 5457,coordinate_match,Distance: 0.0000°
UGC 6700,PGC 5457,UGC | PGC,NGC 5457,coordinate_match,Distance: 0.0000°
M102,Sh2-151,Messier | Sharpless,Galaxie du Fuseau,coordinate_match,Distance: 0.0720°
M102,UGC 6800,Messier | UGC,Galaxie du Fuseau,coordinate_match,Distance: 0.0720°
M102,PGC 5866,Messier | PGC,Galaxie du Fuseau,coordinate_match,Distance: 0.0720°
Sh2-151,UGC 6800,Sharpless | UGC,NGC 5866,coordinate_match,Distance: 0.0000°
Sh2-151,PGC 5866,Sharpless | PGC,NGC 5866,coordinate_match,Distance: 0.0000°
UGC 6800,PGC 5866,UGC | PGC,NGC 5866,coordinate_match,Distance: 0.0000°
M104,Sh2-140,Messier | Sharpless,Galaxie du Sombrero,coordinate_match,Distance: 0.0000°
M104,UGC 5700,Messier | UGC,Galaxie du Sombrero,coordinate_match,Distance: 0.0000°
M104,PGC 4594,Messier | PGC,Galaxie du Sombrero,coordinate_match,Distance: 0.0000°
Sh2-140,UGC 5700,Sharpless | UGC,NGC 4594,coordinate_match,Distance: 0.0000°
Sh2-140,PGC 4594,Sharpless | PGC,NGC 4594,coordinate_match,Distance: 0.0000°
UGC 5700,PGC 4594,UGC | PGC,NGC 4594,coordinate_match,Distance: 0.0000°
M106,Sh2-127,Messier | Sharpless,Galaxie spirale,coordinate_match,Distance: 0.0000°
M106,UGC 4700,Messier | UGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
M106,PGC 4258,Messier | PGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
Sh2-127,UGC 4700,Sharpless | UGC,NGC 4258,coordinate_match,Distance: 0.0000°
Sh2-127,PGC 4258,Sharpless | PGC,NGC 4258,coordinate_match,Distance: 0.0000°
UGC 4700,PGC 4258,UGC | PGC,NGC 4258,coordinate_match,Distance: 0.0000°
M109,Sh2-126,Messier | Sharpless,Galaxie spirale barrée,coordinate_match,Distance: 0.0752°
M109,UGC 4600,Messier | UGC,Galaxie spirale barrée,coordinate_match,Distance: 0.0752°
M109,PGC 3992,Messier | PGC,Galaxie spirale barrée,coordinate_match,Distance: 0.0752°
Sh2-126,UGC 4600,Sharpless | UGC,NGC 3992,coordinate_match,Distance: 0.0000°
Sh2-126,PGC 3992,Sharpless | PGC,NGC 3992,coordinate_match,Distance: 0.0000°
UGC 4600,PGC 3992,UGC | PGC,NGC 3992,coordinate_match,Distance: 0.0000°
C7,PGC 2403,Caldwell | PGC,Galaxie spirale,coordinate_match,Distance: 0.0167°
C17,Sh2-49,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C17,Sh2-198,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C17,Sh2-227,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C17,Sh2-243,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C17,Sh2-252,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C17,Sh2-301,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C49,Sh2-49,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C49,Sh2-198,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C49,Sh2-227,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C49,Sh2-243,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C49,Sh2-252,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C49,Sh2-301,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C21,PGC 4449,Caldwell | PGC,Galaxie irrégulière,coordinate_match,Distance: 0.0442°
C23,UGC 600,Caldwell | UGC,Galaxie du Couteau d'Argent,coordinate_match,Distance: 0.0920°
C23,PGC 891,Caldwell | PGC,Galaxie du Couteau d'Argent,coordinate_match,Distance: 0.0920°
Sh2-112,UGC 600,Sharpless | UGC,NGC 891,coordinate_match,Distance: 0.0920°
Sh2-112,PGC 891,Sharpless | PGC,NGC 891,coordinate_match,Distance: 0.0920°
Sh2-291,UGC 600,Sharpless | UGC,NGC 891,coordinate_match,Distance: 0.0920°
Sh2-291,PGC 891,Sharpless | PGC,NGC 891,coordinate_match,Distance: 0.0920°
UGC 600,PGC 891,UGC | PGC,NGC 891,coordinate_match,Distance: 0.0000°
Sh2-194,UGC 3300,Sharpless | UGC,NGC 2392,coordinate_match,Distance: 0.0000°
Sh2-297,UGC 3300,Sharpless | UGC,NGC 2392,coordinate_match,Distance: 0.0000°
C52,UGC 185,Caldwell | UGC,Galaxie spirale,coordinate_match,Distance: 0.0556°
C52,PGC 253,Caldwell | PGC,Galaxie spirale,coordinate_match,Distance: 0.0556°
UGC 185,PGC 253,UGC | PGC,NGC 253,coordinate_match,Distance: 0.0000°
C77,PGC 5128,Caldwell | PGC,Galaxie du Centaure A,coordinate_match,Distance: 0.0910°
C80,PGC 5128,Caldwell | PGC,Galaxie du Centaure A,coordinate_match,Distance: 0.0910°
C107,Sh2-73,Caldwell | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0000°
C108,Sh2-72,Caldwell | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0838°
C108,Sh2-251,Caldwell | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0838°
Sh2-216,UGC 1500,Sharpless | UGC,Nébuleuse de Californie,coordinate_match,Distance: 0.0000°
Sh2-77,UGC 90,Sharpless | UGC,NGC 147,coordinate_match,Distance: 0.0000°
Sh2-77,PGC 147,Sharpless | PGC,NGC 147,coordinate_match,Distance: 0.0000°
Sh2-256,UGC 90,Sharpless | UGC,NGC 147,coordinate_match,Distance: 0.0000°
Sh2-256,PGC 147,Sharpless | PGC,NGC 147,coordinate_match,Distance: 0.0000°
UGC 90,PGC 147,UGC | PGC,NGC 147,coordinate_match,Distance: 0.0000°
UGC 180,PGC 247,UGC | PGC,NGC 247,coordinate_match,Distance: 0.0000°
Sh2-115,UGC 700,Sharpless | UGC,NGC 1023,coordinate_match,Distance: 0.0000°
Sh2-115,PGC 1023,Sharpless | PGC,NGC 1023,coordinate_match,Distance: 0.0000°
Sh2-294,UGC 700,Sharpless | UGC,NGC 1023,coordinate_match,Distance: 0.0000°
Sh2-294,PGC 1023,Sharpless | PGC,NGC 1023,coordinate_match,Distance: 0.0000°
UGC 700,PGC 1023,UGC | PGC,NGC 1023,coordinate_match,Distance: 0.0000°
UGC 15,PGC 23,UGC | PGC,NGC 23,coordinate_match,Distance: 0.0000°
UGC 35,PGC 55,UGC | PGC,NGC 55,coordinate_match,Distance: 0.0000°
UGC 80,PGC 134,UGC | PGC,NGC 134,coordinate_match,Distance: 0.0000°
UGC 130,PGC 185,UGC | PGC,NGC 185,coordinate_match,Distance: 0.0000°
UGC 300,PGC 488,UGC | PGC,NGC 488,coordinate_match,Distance: 0.0000°
UGC 500,PGC 772,UGC | PGC,NGC 772,coordinate_match,Distance: 0.0000°
UGC 900,PGC 1300,UGC | PGC,NGC 1300,coordinate_match,Distance: 0.0000°
UGC 1000,PGC 1316,UGC | PGC,NGC 1316,coordinate_match,Distance: 0.0000°
UGC 1100,PGC 1365,UGC | PGC,NGC 1365,coordinate_match,Distance: 0.0000°
UGC 1200,PGC 1399,UGC | PGC,NGC 1399,coordinate_match,Distance: 0.0000°
UGC 1300,PGC 1404,UGC | PGC,NGC 1404,coordinate_match,Distance: 0.0000°
UGC 1400,PGC 1433,UGC | PGC,NGC 1433,coordinate_match,Distance: 0.0000°
UGC 1600,PGC 1532,UGC | PGC,NGC 1532,coordinate_match,Distance: 0.0000°
UGC 1700,PGC 1566,UGC | PGC,NGC 1566,coordinate_match,Distance: 0.0000°
UGC 1800,PGC 1637,UGC | PGC,NGC 1637,coordinate_match,Distance: 0.0000°
UGC 2100,PGC 1700,UGC | PGC,NGC 1700,coordinate_match,Distance: 0.0000°
UGC 2200,PGC 1808,UGC | PGC,NGC 1808,coordinate_match,Distance: 0.0000°
UGC 3900,PGC 3115,UGC | PGC,NGC 3115,coordinate_match,Distance: 0.0000°
UGC 4000,PGC 3198,UGC | PGC,NGC 3198,coordinate_match,Distance: 0.0000°
PGC 2146,Abell 405,PGC | Abell,NGC 2146,coordinate_match,Distance: 0.0350°
M8,C8,Messier | Caldwell,Nébuleuse de la Lagune,type_magnitude_match,"Type: Emission Nebula, Mag: 6.0, Dist: 0.000°"
M8,C58,Messier | Caldwell,Nébuleuse de la Lagune,type_magnitude_match,"Type: Emission Nebula, Mag: 6.0, Dist: 0.000°"
M8,Sh2-8,Messier | Sharpless,Nébuleuse de la Lagune,type_magnitude_match,"Type: Emission Nebula, Mag: 6.0, Dist: 0.068°"
C8,Sh2-8,Caldwell | Sharpless,Nébuleuse de la Lagune,type_magnitude_match,"Type: Emission Nebula, Mag: 6.0, Dist: 0.068°"
C58,Sh2-8,Caldwell | Sharpless,Nébuleuse de la Lagune,type_magnitude_match,"Type: Emission Nebula, Mag: 6.0, Dist: 0.068°"
M16,C50,Messier | Caldwell,Nébuleuse de l'Aigle,type_magnitude_match,"Type: Emission Nebula, Mag: 6.4, Dist: 0.000°"
M16,C60,Messier | Caldwell,Nébuleuse de l'Aigle,type_magnitude_match,"Type: Emission Nebula, Mag: 6.4, Dist: 0.000°"
M17,C61,Messier | Caldwell,Nébuleuse Omega,type_magnitude_match,"Type: Emission Nebula, Mag: 7.0, Dist: 0.000°"
M27,Sh2-27,Messier | Sharpless,Nébuleuse de l'Haltère,type_magnitude_match,"Type: Planetary Nebula, Mag: 7.4, Dist: 0.005°"
M31,C31,Messier | Caldwell,Galaxie d'Andromède,type_magnitude_match,"Type: Galaxy, Mag: 3.4, Dist: 0.000°"
M31,UGC 170,Messier | UGC,Galaxie d'Andromède,type_magnitude_match,"Type: Galaxy, Mag: 3.4, Dist: 0.001°"
M31,PGC 224,Messier | PGC,Galaxie d'Andromède,type_magnitude_match,"Type: Galaxy, Mag: 3.4, Dist: 0.001°"
C31,UGC 170,Caldwell | UGC,Galaxie d'Andromède,type_magnitude_match,"Type: Galaxy, Mag: 3.4, Dist: 0.001°"
C31,PGC 224,Caldwell | PGC,Galaxie d'Andromède,type_magnitude_match,"Type: Galaxy, Mag: 3.4, Dist: 0.001°"
UGC 170,PGC 224,UGC | PGC,NGC 224,type_magnitude_match,"Type: Galaxy, Mag: 3.4, Dist: 0.000°"
M32,UGC 150,Messier | UGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 8.1, Dist: 0.942°"
M32,UGC 165,Messier | UGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 8.1, Dist: 0.048°"
M32,PGC 205,Messier | PGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 8.1, Dist: 0.942°"
M32,PGC 221,Messier | PGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 8.1, Dist: 0.048°"
M110,UGC 150,Messier | UGC,Galaxie elliptique naine,type_magnitude_match,"Type: Galaxy, Mag: 8.5, Dist: 0.000°"
M110,UGC 165,Messier | UGC,Galaxie elliptique naine,type_magnitude_match,"Type: Galaxy, Mag: 8.5, Dist: 0.968°"
M110,PGC 205,Messier | PGC,Galaxie elliptique naine,type_magnitude_match,"Type: Galaxy, Mag: 8.5, Dist: 0.000°"
M110,PGC 221,Messier | PGC,Galaxie elliptique naine,type_magnitude_match,"Type: Galaxy, Mag: 8.5, Dist: 0.968°"
UGC 150,PGC 205,UGC | PGC,NGC 205,type_magnitude_match,"Type: Galaxy, Mag: 8.5, Dist: 0.000°"
UGC 150,PGC 221,UGC | PGC,NGC 205,type_magnitude_match,"Type: Galaxy, Mag: 8.5, Dist: 0.968°"
UGC 165,PGC 205,UGC | PGC,NGC 221,type_magnitude_match,"Type: Galaxy, Mag: 8.5, Dist: 0.968°"
UGC 165,PGC 221,UGC | PGC,NGC 221,type_magnitude_match,"Type: Galaxy, Mag: 8.5, Dist: 0.000°"
M33,C33,Messier | Caldwell,Galaxie du Triangle,type_magnitude_match,"Type: Galaxy, Mag: 5.7, Dist: 0.000°"
M33,PGC 598,Messier | PGC,Galaxie du Triangle,type_magnitude_match,"Type: Galaxy, Mag: 5.7, Dist: 0.108°"
C33,PGC 598,Caldwell | PGC,Galaxie du Triangle,type_magnitude_match,"Type: Galaxy, Mag: 5.7, Dist: 0.108°"
M36,C37,Messier | Caldwell,Amas ouvert,type_magnitude_match,"Type: Open Cluster, Mag: 6.3, Dist: 0.000°"
M42,C42,Messier | Caldwell,Grande Nébuleuse d'Orion,type_magnitude_match,"Type: Emission Nebula, Mag: 4.0, Dist: 0.000°"
M42,Sh2-51,Messier | Sharpless,Grande Nébuleuse d'Orion,type_magnitude_match,"Type: Emission Nebula, Mag: 4.0, Dist: 0.006°"
M42,Sh2-224,Messier | Sharpless,Grande Nébuleuse d'Orion,type_magnitude_match,"Type: Emission Nebula, Mag: 4.0, Dist: 0.126°"
C42,Sh2-51,Caldwell | Sharpless,Nébuleuse d'Orion,type_magnitude_match,"Type: Emission Nebula, Mag: 4.0, Dist: 0.006°"
C42,Sh2-224,Caldwell | Sharpless,Nébuleuse d'Orion,type_magnitude_match,"Type: Emission Nebula, Mag: 4.0, Dist: 0.126°"
M45,C45,Messier | Caldwell,Pléiades,type_magnitude_match,"Type: Open Cluster, Mag: 1.6, Dist: 0.000°"
M60,UGC 5900,Messier | UGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 8.8, Dist: 0.060°"
M60,PGC 4649,Messier | PGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 8.8, Dist: 0.060°"
M86,UGC 5000,Messier | UGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 8.9, Dist: 0.000°"
M86,PGC 4406,Messier | PGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 8.9, Dist: 0.000°"
M87,UGC 5200,Messier | UGC,Galaxie elliptique géante,type_magnitude_match,"Type: Galaxy, Mag: 8.6, Dist: 0.123°"
M87,PGC 4486,Messier | PGC,Galaxie elliptique géante,type_magnitude_match,"Type: Galaxy, Mag: 8.6, Dist: 0.123°"
