primary,alternates,catalogs,common_name,match_type,notes
M1,NGC 1952,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
UGC 180,PGC 247,UGC | PGC,NGC 247,common_name_match,Correspondance par nom commun: ngc247
UGC 185,PGC 253,UGC | PGC,NGC 253,common_name_match,Correspondance par nom commun: ngc253
UGC 300,PGC 488,UGC | PGC,NGC 488,common_name_match,Correspondance par nom commun: ngc488
UGC 400,PGC 628,UGC | PGC,NGC 628,common_name_match,Correspondance par nom commun: ngc628
UGC 500,PGC 772,UGC | PGC,NGC 772,common_name_match,Correspondance par nom commun: ngc772
UGC 600,PGC 891,UGC | PGC,NGC 891,common_name_match,Correspondance par nom commun: ngc891
UGC 700,PGC 1023,UGC | PGC,NGC 1023,common_name_match,Correspondance par nom commun: ngc1023
UGC 800,PGC 1068,UGC | PGC,NGC 1068,common_name_match,Correspondance par nom commun: ngc1068
UGC 900,PGC 1300,UGC | PGC,NGC 1300,common_name_match,Correspondance par nom commun: ngc1300
UGC 1000,PGC 1316,UGC | PGC,NGC 1316,common_name_match,Correspondance par nom commun: ngc1316
UGC 1100,PGC 1365,UGC | PGC,NGC 1365,common_name_match,Correspondance par nom commun: ngc1365
UGC 1200,PGC 1399,UGC | PGC,NGC 1399,common_name_match,Correspondance par nom commun: ngc1399
UGC 1300,PGC 1404,UGC | PGC,NGC 1404,common_name_match,Correspondance par nom commun: ngc1404
UGC 1400,PGC 1433,UGC | PGC,NGC 1433,common_name_match,Correspondance par nom commun: ngc1433
UGC 1600,PGC 1532,UGC | PGC,NGC 1532,common_name_match,Correspondance par nom commun: ngc1532
UGC 1700,PGC 1566,UGC | PGC,NGC 1566,common_name_match,Correspondance par nom commun: ngc1566
UGC 1800,PGC 1637,UGC | PGC,NGC 1637,common_name_match,Correspondance par nom commun: ngc1637
UGC 1900,PGC 1672,UGC | PGC,NGC 1672,common_name_match,Correspondance par nom commun: ngc1672
UGC 2100,PGC 1700,UGC | PGC,NGC 1700,common_name_match,Correspondance par nom commun: ngc1700
UGC 2200,PGC 1808,UGC | PGC,NGC 1808,common_name_match,Correspondance par nom commun: ngc1808
UGC 3700,PGC 3031,UGC | PGC,NGC 3031,common_name_match,Correspondance par nom commun: ngc3031
UGC 3800,PGC 3034,UGC | PGC,NGC 3034,common_name_match,Correspondance par nom commun: ngc3034
UGC 3900,PGC 3115,UGC | PGC,NGC 3115,common_name_match,Correspondance par nom commun: ngc3115
UGC 4000,PGC 3198,UGC | PGC,NGC 3198,common_name_match,Correspondance par nom commun: ngc3198
UGC 4100,PGC 3351,UGC | PGC,NGC 3351,common_name_match,Correspondance par nom commun: ngc3351
UGC 4200,PGC 3368,UGC | PGC,NGC 3368,common_name_match,Correspondance par nom commun: ngc3368
UGC 4300,PGC 3379,UGC | PGC,NGC 3379,common_name_match,Correspondance par nom commun: ngc3379
UGC 4400,PGC 3623,UGC | PGC,NGC 3623,common_name_match,Correspondance par nom commun: ngc3623
UGC 4500,PGC 3627,UGC | PGC,NGC 3627,common_name_match,Correspondance par nom commun: ngc3627
UGC 4600,PGC 3992,UGC | PGC,NGC 3992,common_name_match,Correspondance par nom commun: ngc3992
UGC 4700,PGC 4258,UGC | PGC,NGC 4258,common_name_match,Correspondance par nom commun: ngc4258
UGC 4800,PGC 4374,UGC | PGC,NGC 4374,common_name_match,Correspondance par nom commun: ngc4374
UGC 4900,PGC 4382,UGC | PGC,NGC 4382,common_name_match,Correspondance par nom commun: ngc4382
UGC 5000,PGC 4406,UGC | PGC,NGC 4406,common_name_match,Correspondance par nom commun: ngc4406
UGC 5100,PGC 4472,UGC | PGC,NGC 4472,common_name_match,Correspondance par nom commun: ngc4472
UGC 5200,PGC 4486,UGC | PGC,NGC 4486,common_name_match,Correspondance par nom commun: ngc4486
UGC 5300,PGC 4501,UGC | PGC,NGC 4501,common_name_match,Correspondance par nom commun: ngc4501
UGC 5400,PGC 4552,UGC | PGC,NGC 4552,common_name_match,Correspondance par nom commun: ngc4552
UGC 5500,PGC 4569,UGC | PGC,NGC 4569,common_name_match,Correspondance par nom commun: ngc4569
UGC 5600,PGC 4579,UGC | PGC,NGC 4579,common_name_match,Correspondance par nom commun: ngc4579
UGC 5700,PGC 4594,UGC | PGC,NGC 4594,common_name_match,Correspondance par nom commun: ngc4594
UGC 5800,PGC 4621,UGC | PGC,NGC 4621,common_name_match,Correspondance par nom commun: ngc4621
UGC 5900,PGC 4649,UGC | PGC,NGC 4649,common_name_match,Correspondance par nom commun: ngc4649
UGC 6000,PGC 4736,UGC | PGC,NGC 4736,common_name_match,Correspondance par nom commun: ngc4736
UGC 6100,PGC 4826,UGC | PGC,NGC 4826,common_name_match,Correspondance par nom commun: ngc4826
UGC 6300,PGC 5055,UGC | PGC,NGC 5055,common_name_match,Correspondance par nom commun: ngc5055
UGC 6400,PGC 5194 | PGC 51522,UGC | PGC,NGC 5194,common_name_match,Correspondance par nom commun: ngc5194
UGC 6500,PGC 5236,UGC | PGC,NGC 5236,common_name_match,Correspondance par nom commun: ngc5236
UGC 6700,PGC 5457,UGC | PGC,NGC 5457,common_name_match,Correspondance par nom commun: ngc5457
UGC 6800,PGC 5866,UGC | PGC,NGC 5866,common_name_match,Correspondance par nom commun: ngc5866
M1,UGC 2600,Messier | UGC,Nébuleuse du Crabe,coordinate_match,Distance: 0.0000°
M2,Sh2-44,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0375°
M2,Sh2-193,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0375°
M2,UGC 8400,Messier | UGC,Amas globulaire,coordinate_match,Distance: 0.0375°
Sh2-44,UGC 8400,Sharpless | UGC,NGC 7089,coordinate_match,Distance: 0.0000°
Sh2-193,UGC 8400,Sharpless | UGC,NGC 7089,coordinate_match,Distance: 0.0000°
M3,Sh2-149,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0134°
M3,UGC 6600,Messier | UGC,Amas globulaire,coordinate_match,Distance: 0.0134°
Sh2-149,UGC 6600,Sharpless | UGC,NGC 5272,coordinate_match,Distance: 0.0000°
M4,Sh2-154,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0014°
M5,Sh2-152,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0051°
M6,Sh2-164,Messier | Sharpless,Amas du Papillon,coordinate_match,Distance: 0.0000°
M7,Sh2-165,Messier | Sharpless,Amas de Ptolémée,coordinate_match,Distance: 0.0514°
M8,C8,Messier | Caldwell,Nébuleuse de la Lagune,coordinate_match,Distance: 0.0000°
M8,C58,Messier | Caldwell,Nébuleuse de la Lagune,coordinate_match,Distance: 0.0000°
M8,Sh2-8,Messier | Sharpless,Nébuleuse de la Lagune,coordinate_match,Distance: 0.0683°
M8,Sh2-168,Messier | Sharpless,Nébuleuse de la Lagune,coordinate_match,Distance: 0.0683°
M8,UGC 7300,Messier | UGC,Nébuleuse de la Lagune,coordinate_match,Distance: 0.0683°
C8,Sh2-8,Caldwell | Sharpless,Nébuleuse de la Lagune,coordinate_match,Distance: 0.0683°
C8,Sh2-168,Caldwell | Sharpless,Nébuleuse de la Lagune,coordinate_match,Distance: 0.0683°
C8,UGC 7300,Caldwell | UGC,Nébuleuse de la Lagune,coordinate_match,Distance: 0.0683°
C58,Sh2-8,Caldwell | Sharpless,Nébuleuse de la Lagune,coordinate_match,Distance: 0.0683°
C58,Sh2-168,Caldwell | Sharpless,Nébuleuse de la Lagune,coordinate_match,Distance: 0.0683°
C58,UGC 7300,Caldwell | UGC,Nébuleuse de la Lagune,coordinate_match,Distance: 0.0683°
Sh2-8,UGC 7300,Sharpless | UGC,Nébuleuse de la Lagune,coordinate_match,Distance: 0.0000°
Sh2-168,UGC 7300,Sharpless | UGC,NGC 6523,coordinate_match,Distance: 0.0000°
M9,Sh2-161,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0000°
M11,Sh2-178,Messier | Sharpless,Amas du Canard Sauvage,coordinate_match,Distance: 0.0000°
M13,Sh2-156,Messier | Sharpless,Grand Amas d'Hercule,coordinate_match,Distance: 0.0097°
M13,UGC 6900,Messier | UGC,Grand Amas d'Hercule,coordinate_match,Distance: 0.0097°
Sh2-156,UGC 6900,Sharpless | UGC,NGC 6205,coordinate_match,Distance: 0.0000°
M14,Sh2-163,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0135°
M14,UGC 7100,Messier | UGC,Amas globulaire,coordinate_match,Distance: 0.0135°
Sh2-163,UGC 7100,Sharpless | UGC,NGC 6402,coordinate_match,Distance: 0.0000°
M15,Sh2-42,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0000°
M15,Sh2-189,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0000°
M15,UGC 8000,Messier | UGC,Amas globulaire,coordinate_match,Distance: 0.0000°
Sh2-42,UGC 8000,Sharpless | UGC,NGC 7078,coordinate_match,Distance: 0.0000°
Sh2-189,UGC 8000,Sharpless | UGC,NGC 7078,coordinate_match,Distance: 0.0000°
M16,C50,Messier | Caldwell,Nébuleuse de l'Aigle,coordinate_match,Distance: 0.0000°
M16,C60,Messier | Caldwell,Nébuleuse de l'Aigle,coordinate_match,Distance: 0.0000°
M16,Sh2-170,Messier | Sharpless,Nébuleuse de l'Aigle,coordinate_match,Distance: 0.0000°
M16,Sh2-254,Messier | Sharpless,Nébuleuse de l'Aigle,coordinate_match,Distance: 0.0000°
M16,UGC 7400,Messier | UGC,Nébuleuse de l'Aigle,coordinate_match,Distance: 0.0000°
C50,Sh2-170,Caldwell | Sharpless,Nébuleuse de l'Aigle,coordinate_match,Distance: 0.0000°
C50,Sh2-254,Caldwell | Sharpless,Nébuleuse de l'Aigle,coordinate_match,Distance: 0.0000°
C50,UGC 7400,Caldwell | UGC,Nébuleuse de l'Aigle,coordinate_match,Distance: 0.0000°
C60,Sh2-170,Caldwell | Sharpless,Nébuleuse de l'Aigle,coordinate_match,Distance: 0.0000°
C60,Sh2-254,Caldwell | Sharpless,Nébuleuse de l'Aigle,coordinate_match,Distance: 0.0000°
C60,UGC 7400,Caldwell | UGC,Nébuleuse de l'Aigle,coordinate_match,Distance: 0.0000°
Sh2-170,UGC 7400,Sharpless | UGC,NGC 6611,coordinate_match,Distance: 0.0000°
Sh2-254,UGC 7400,Sharpless | UGC,Nébuleuse de l'Aigle,coordinate_match,Distance: 0.0000°
M17,Sh2-17,Messier | Sharpless,Nébuleuse Omega,coordinate_match,Distance: 0.0591°
M17,Sh2-172,Messier | Sharpless,Nébuleuse Omega,coordinate_match,Distance: 0.0591°
M17,UGC 7500,Messier | UGC,Nébuleuse Omega,coordinate_match,Distance: 0.0591°
C61,Sh2-17,Caldwell | Sharpless,Nébuleuse Omega,coordinate_match,Distance: 0.0591°
C61,Sh2-172,Caldwell | Sharpless,Nébuleuse Omega,coordinate_match,Distance: 0.0591°
C61,UGC 7500,Caldwell | UGC,Nébuleuse Omega,coordinate_match,Distance: 0.0591°
Sh2-17,UGC 7500,Sharpless | UGC,Nébuleuse Oméga,coordinate_match,Distance: 0.0000°
Sh2-172,UGC 7500,Sharpless | UGC,NGC 6618,coordinate_match,Distance: 0.0000°
M19,Sh2-160,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0337°
Sh2-31,UGC 7600,Sharpless | UGC,NGC 6656,coordinate_match,Distance: 0.0000°
Sh2-175,UGC 7600,Sharpless | UGC,NGC 6656,coordinate_match,Distance: 0.0000°
M23,Sh2-23,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M23,Sh2-166,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M27,Sh2-184,Messier | Sharpless,Nébuleuse de l'Haltère,coordinate_match,Distance: 0.0050°
M27,UGC 7800,Messier | UGC,Nébuleuse de l'Haltère,coordinate_match,Distance: 0.0050°
Sh2-27,UGC 7800,Sharpless | UGC,Nébuleuse de l'Haltère,coordinate_match,Distance: 0.0000°
Sh2-184,UGC 7800,Sharpless | UGC,NGC 6853,coordinate_match,Distance: 0.0000°
M29,Sh2-29,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0481°
M29,UGC 7900,Messier | UGC,Amas ouvert,coordinate_match,Distance: 0.0481°
Sh2-29,UGC 7900,Sharpless | UGC,NGC 6913,coordinate_match,Distance: 0.0000°
M30,Sh2-30,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0566°
M30,Sh2-191,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0566°
M30,UGC 8200,Messier | UGC,Amas globulaire,coordinate_match,Distance: 0.0566°
M31,C31,Messier | Caldwell,Galaxie d'Andromède,coordinate_match,Distance: 0.0000°
M31,Sh2-80,Messier | Sharpless,Galaxie d'Andromède,coordinate_match,Distance: 0.0006°
M31,Sh2-259,Messier | Sharpless,Galaxie d'Andromède,coordinate_match,Distance: 0.0006°
M31,UGC 170,Messier | UGC,Galaxie d'Andromède,coordinate_match,Distance: 0.0006°
M31,PGC 224,Messier | PGC,Galaxie d'Andromède,coordinate_match,Distance: 0.0006°
M32,Sh2-79,Messier | Sharpless,Galaxie elliptique,coordinate_match,Distance: 0.0477°
M32,Sh2-258,Messier | Sharpless,Galaxie elliptique,coordinate_match,Distance: 0.0477°
M32,UGC 165,Messier | UGC,Galaxie elliptique,coordinate_match,Distance: 0.0477°
M32,PGC 221,Messier | PGC,Galaxie elliptique,coordinate_match,Distance: 0.0477°
M110,Sh2-78,Messier | Sharpless,Galaxie elliptique naine,coordinate_match,Distance: 0.0000°
M110,Sh2-257,Messier | Sharpless,Galaxie elliptique naine,coordinate_match,Distance: 0.0000°
M110,UGC 150,Messier | UGC,Galaxie elliptique naine,coordinate_match,Distance: 0.0000°
M110,PGC 205,Messier | PGC,Galaxie elliptique naine,coordinate_match,Distance: 0.0000°
C31,Sh2-80,Caldwell | Sharpless,Galaxie d'Andromède,coordinate_match,Distance: 0.0006°
C31,Sh2-259,Caldwell | Sharpless,Galaxie d'Andromède,coordinate_match,Distance: 0.0006°
C31,UGC 170,Caldwell | UGC,Galaxie d'Andromède,coordinate_match,Distance: 0.0006°
C31,PGC 224,Caldwell | PGC,Galaxie d'Andromède,coordinate_match,Distance: 0.0006°
Sh2-78,UGC 150,Sharpless | UGC,NGC 205,coordinate_match,Distance: 0.0000°
Sh2-78,PGC 205,Sharpless | PGC,NGC 205,coordinate_match,Distance: 0.0000°
Sh2-79,UGC 165,Sharpless | UGC,NGC 221,coordinate_match,Distance: 0.0000°
Sh2-79,PGC 221,Sharpless | PGC,NGC 221,coordinate_match,Distance: 0.0000°
Sh2-80,UGC 170,Sharpless | UGC,Galaxie d'Andromède,coordinate_match,Distance: 0.0000°
Sh2-80,PGC 224,Sharpless | PGC,Galaxie d'Andromède,coordinate_match,Distance: 0.0000°
Sh2-257,UGC 150,Sharpless | UGC,NGC 205,coordinate_match,Distance: 0.0000°
Sh2-257,PGC 205,Sharpless | PGC,NGC 205,coordinate_match,Distance: 0.0000°
Sh2-258,UGC 165,Sharpless | UGC,NGC 221,coordinate_match,Distance: 0.0000°
Sh2-258,PGC 221,Sharpless | PGC,NGC 221,coordinate_match,Distance: 0.0000°
Sh2-259,UGC 170,Sharpless | UGC,NGC 224,coordinate_match,Distance: 0.0000°
Sh2-259,PGC 224,Sharpless | PGC,NGC 224,coordinate_match,Distance: 0.0000°
Sh2-81,PGC 598,Sharpless | PGC,M33,coordinate_match,Distance: 0.0000°
Sh2-260,PGC 598,Sharpless | PGC,M33,coordinate_match,Distance: 0.0000°
M34,Sh2-65,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0166°
M34,Sh2-215,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0166°
M34,Sh2-244,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0166°
M35,Sh2-58,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0574°
M35,Sh2-208,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0574°
M35,Sh2-311,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0574°
M36,C37,Messier | Caldwell,Amas ouvert,coordinate_match,Distance: 0.0000°
M36,Sh2-60,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M36,Sh2-210,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M36,Sh2-239,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M36,Sh2-313,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
C37,Sh2-60,Caldwell | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
C37,Sh2-210,Caldwell | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
C37,Sh2-239,Caldwell | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
C37,Sh2-313,Caldwell | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M37,Sh2-59,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0531°
M37,Sh2-209,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0531°
M37,Sh2-238,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0531°
M37,Sh2-312,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0531°
M37,UGC 3000,Messier | UGC,Amas ouvert,coordinate_match,Distance: 0.0531°
Sh2-59,UGC 3000,Sharpless | UGC,NGC 2099,coordinate_match,Distance: 0.0000°
Sh2-209,UGC 3000,Sharpless | UGC,NGC 2099,coordinate_match,Distance: 0.0000°
Sh2-238,UGC 3000,Sharpless | UGC,NGC 2099,coordinate_match,Distance: 0.0000°
Sh2-312,UGC 3000,Sharpless | UGC,NGC 2099,coordinate_match,Distance: 0.0000°
M38,Sh2-61,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M38,Sh2-211,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M39,Sh2-39,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M39,Sh2-190,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M39,UGC 8100,Messier | UGC,Amas ouvert,coordinate_match,Distance: 0.0000°
Sh2-39,UGC 8100,Sharpless | UGC,NGC 7092,coordinate_match,Distance: 0.0000°
Sh2-190,UGC 8100,Sharpless | UGC,NGC 7092,coordinate_match,Distance: 0.0000°
Sh2-55,UGC 3100,Sharpless | UGC,NGC 2287,coordinate_match,Distance: 0.0000°
Sh2-200,UGC 3100,Sharpless | UGC,NGC 2287,coordinate_match,Distance: 0.0000°
Sh2-229,UGC 3100,Sharpless | UGC,NGC 2287,coordinate_match,Distance: 0.0000°
Sh2-303,UGC 3100,Sharpless | UGC,NGC 2287,coordinate_match,Distance: 0.0000°
M42,C42,Messier | Caldwell,Grande Nébuleuse d'Orion,coordinate_match,Distance: 0.0000°
M42,Sh2-51,Messier | Sharpless,Grande Nébuleuse d'Orion,coordinate_match,Distance: 0.0056°
M42,Sh2-195,Messier | Sharpless,Grande Nébuleuse d'Orion,coordinate_match,Distance: 0.0056°
M42,Sh2-298,Messier | Sharpless,Grande Nébuleuse d'Orion,coordinate_match,Distance: 0.0056°
M43,Sh2-52,Messier | Sharpless,Nébuleuse de Mairan,coordinate_match,Distance: 0.0634°
M43,Sh2-196,Messier | Sharpless,Nébuleuse de Mairan,coordinate_match,Distance: 0.0634°
M43,Sh2-225,Messier | Sharpless,Nébuleuse de Mairan,coordinate_match,Distance: 0.0634°
M43,Sh2-299,Messier | Sharpless,Nébuleuse de Mairan,coordinate_match,Distance: 0.0634°
M43,UGC 2800,Messier | UGC,Nébuleuse de Mairan,coordinate_match,Distance: 0.0634°
C42,Sh2-51,Caldwell | Sharpless,Nébuleuse d'Orion,coordinate_match,Distance: 0.0056°
C42,Sh2-195,Caldwell | Sharpless,Nébuleuse d'Orion,coordinate_match,Distance: 0.0056°
C42,Sh2-298,Caldwell | Sharpless,Nébuleuse d'Orion,coordinate_match,Distance: 0.0056°
Sh2-52,UGC 2800,Sharpless | UGC,NGC 1982,coordinate_match,Distance: 0.0000°
Sh2-196,UGC 2800,Sharpless | UGC,NGC 1982,coordinate_match,Distance: 0.0000°
Sh2-224,UGC 2700,Sharpless | UGC,Grande Nébuleuse d'Orion,coordinate_match,Distance: 0.0000°
Sh2-225,UGC 2800,Sharpless | UGC,NGC 1982,coordinate_match,Distance: 0.0000°
Sh2-299,UGC 2800,Sharpless | UGC,NGC 1982,coordinate_match,Distance: 0.0000°
M44,Sh2-56,Messier | Sharpless,Amas de la Ruche,coordinate_match,Distance: 0.0000°
M44,Sh2-309,Messier | Sharpless,Amas de la Ruche,coordinate_match,Distance: 0.0000°
M48,Sh2-48,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0612°
M48,Sh2-205,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0612°
M48,Sh2-234,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0612°
M48,UGC 3500,Messier | UGC,Amas ouvert,coordinate_match,Distance: 0.0612°
Sh2-48,UGC 3500,Sharpless | UGC,NGC 2548,coordinate_match,Distance: 0.0000°
Sh2-205,UGC 3500,Sharpless | UGC,NGC 2548,coordinate_match,Distance: 0.0000°
Sh2-234,UGC 3500,Sharpless | UGC,NGC 2548,coordinate_match,Distance: 0.0000°
M50,Sh2-50,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M50,Sh2-201,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M50,Sh2-230,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M50,Sh2-304,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M50,UGC 3200,Messier | UGC,Amas ouvert,coordinate_match,Distance: 0.0000°
Sh2-50,UGC 3200,Sharpless | UGC,NGC 2323,coordinate_match,Distance: 0.0000°
Sh2-201,UGC 3200,Sharpless | UGC,NGC 2323,coordinate_match,Distance: 0.0000°
Sh2-230,UGC 3200,Sharpless | UGC,NGC 2323,coordinate_match,Distance: 0.0000°
Sh2-304,UGC 3200,Sharpless | UGC,NGC 2323,coordinate_match,Distance: 0.0000°
M51,Sh2-147,Messier | Sharpless,Galaxie du Tourbillon,coordinate_match,Distance: 0.0006°
M51,UGC 6400,Messier | UGC,Galaxie du Tourbillon,coordinate_match,Distance: 0.0006°
M51,PGC 5194,Messier | PGC,Galaxie du Tourbillon,coordinate_match,Distance: 0.0006°
M51,PGC 51522,Messier | PGC,Galaxie du Tourbillon,coordinate_match,Distance: 0.0006°
Sh2-147,UGC 6400,Sharpless | UGC,NGC 5194,coordinate_match,Distance: 0.0000°
Sh2-147,PGC 5194,Sharpless | PGC,NGC 5194,coordinate_match,Distance: 0.0000°
Sh2-147,PGC 51522,Sharpless | PGC,NGC 5194,coordinate_match,Distance: 0.0000°
UGC 6400,PGC 5194,UGC | PGC,NGC 5194,coordinate_match,Distance: 0.0000°
UGC 6400,PGC 51522,UGC | PGC,NGC 5194,coordinate_match,Distance: 0.0000°
M52,Sh2-43,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M52,Sh2-192,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M52,UGC 8300,Messier | UGC,Amas ouvert,coordinate_match,Distance: 0.0000°
Sh2-43,UGC 8300,Sharpless | UGC,NGC 7654,coordinate_match,Distance: 0.0000°
Sh2-192,UGC 8300,Sharpless | UGC,NGC 7654,coordinate_match,Distance: 0.0000°
M53,Sh2-145,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0000°
M53,UGC 6200,Messier | UGC,Amas globulaire,coordinate_match,Distance: 0.0000°
Sh2-145,UGC 6200,Sharpless | UGC,NGC 5024,coordinate_match,Distance: 0.0000°
M70,Sh2-33,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0526°
M70,Sh2-176,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0526°
M55,Sh2-37,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0084°
M55,Sh2-182,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0084°
M57,Sh2-35,Messier | Sharpless,Nébuleuse de l'Anneau,coordinate_match,Distance: 0.0000°
M57,Sh2-180,Messier | Sharpless,Nébuleuse de l'Anneau,coordinate_match,Distance: 0.0000°
M57,UGC 7700,Messier | UGC,Nébuleuse de l'Anneau,coordinate_match,Distance: 0.0000°
Sh2-35,UGC 7700,Sharpless | UGC,NGC 6720,coordinate_match,Distance: 0.0000°
Sh2-180,UGC 7700,Sharpless | UGC,NGC 6720,coordinate_match,Distance: 0.0000°
M84,Sh2-130,Messier | Sharpless,Galaxie elliptique,coordinate_match,Distance: 0.0600°
M84,UGC 4800,Messier | UGC,Galaxie elliptique,coordinate_match,Distance: 0.0600°
M84,PGC 4374,Messier | PGC,Galaxie elliptique,coordinate_match,Distance: 0.0600°
M86,UGC 5000,Messier | UGC,Galaxie elliptique,coordinate_match,Distance: 0.0000°
M86,PGC 4406,Messier | PGC,Galaxie elliptique,coordinate_match,Distance: 0.0000°
M88,Sh2-135,Messier | Sharpless,Galaxie spirale,coordinate_match,Distance: 0.0000°
M88,UGC 5300,Messier | UGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
M88,PGC 4501,Messier | PGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
M90,Sh2-138,Messier | Sharpless,Galaxie spirale,coordinate_match,Distance: 0.0000°
M90,UGC 5500,Messier | UGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
M90,PGC 4569,Messier | PGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
Sh2-134,UGC 5200,Sharpless | UGC,NGC 4486,coordinate_match,Distance: 0.0000°
Sh2-134,PGC 4486,Sharpless | PGC,NGC 4486,coordinate_match,Distance: 0.0000°
Sh2-135,UGC 5300,Sharpless | UGC,NGC 4501,coordinate_match,Distance: 0.0000°
Sh2-135,PGC 4501,Sharpless | PGC,NGC 4501,coordinate_match,Distance: 0.0000°
Sh2-138,UGC 5500,Sharpless | UGC,NGC 4569,coordinate_match,Distance: 0.0000°
Sh2-138,PGC 4569,Sharpless | PGC,NGC 4569,coordinate_match,Distance: 0.0000°
Sh2-139,UGC 5600,Sharpless | UGC,NGC 4579,coordinate_match,Distance: 0.0000°
Sh2-139,PGC 4579,Sharpless | PGC,NGC 4579,coordinate_match,Distance: 0.0000°
M59,Sh2-141,Messier | Sharpless,Galaxie elliptique,coordinate_match,Distance: 0.0000°
M59,UGC 5800,Messier | UGC,Galaxie elliptique,coordinate_match,Distance: 0.0000°
M59,PGC 4621,Messier | PGC,Galaxie elliptique,coordinate_match,Distance: 0.0000°
M60,Sh2-142,Messier | Sharpless,Galaxie elliptique,coordinate_match,Distance: 0.0603°
M60,UGC 5900,Messier | UGC,Galaxie elliptique,coordinate_match,Distance: 0.0603°
M60,PGC 4649,Messier | PGC,Galaxie elliptique,coordinate_match,Distance: 0.0603°
Sh2-141,UGC 5800,Sharpless | UGC,NGC 4621,coordinate_match,Distance: 0.0000°
Sh2-141,PGC 4621,Sharpless | PGC,NGC 4621,coordinate_match,Distance: 0.0000°
Sh2-142,UGC 5900,Sharpless | UGC,NGC 4649,coordinate_match,Distance: 0.0000°
Sh2-142,PGC 4649,Sharpless | PGC,NGC 4649,coordinate_match,Distance: 0.0000°
M61,Sh2-128,Messier | Sharpless,Galaxie spirale,coordinate_match,Distance: 0.0000°
M62,Sh2-159,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0534°
M63,Sh2-146,Messier | Sharpless,Galaxie du Tournesol,coordinate_match,Distance: 0.0470°
